Wavelenght (m);Intensity (counts)
948.545;42.59999847
949.097;115.1999969
949.649;135.6999969
950.200;42.90000153
950.752;29.20000076
951.303;119.6999969
951.854;75.09999847
952.406;165.3000031
952.957;107.3000031
953.508;41.90000153
954.059;57.09999847
954.610;60.5
955.161;3.799999952
955.712;14.39999962
956.263;45.59999847
956.814;128.8999939
957.365;114.5
957.916;70.5
958.467;118.5
959.018;9.899999619
959.568;50.59999847
960.119;91.40000153
960.670;28.39999962
961.220;26.20000076
961.771;25.60000038
962.321;84.40000153
962.871;23.20000076
963.422;42.20000076
963.972;102.4000015
964.522;108.4000015
965.073;49.40000153
965.623;146.8999939
966.173;35.70000076
966.723;86.40000153
967.273;34.79999924
967.823;20.89999962
968.373;72.19999695
968.923;36.09999847
969.472;173.6000061
970.022;92.80000305
970.572;7.699999809
971.122;48.29999924
971.671;15.69999981
972.221;66.5
972.770;64.5
973.320;59.29999924
973.869;15.69999981
974.419;68.5
974.968;34.90000153
975.517;59.09999847
976.067;109.5999985
976.616;25.60000038
977.165;158.3000031
977.714;54.40000153
978.263;101.3000031
978.812;89.59999847
979.361;24
979.910;124.3000031
980.459;51.09999847
981.008;129.1000061
981.556;43.90000153
982.105;105
982.654;90
983.202;99.69999695
983.751;39.20000076
984.299;39.79999924
984.848;110
985.396;42.90000153
985.945;34.59999847
986.493;107.4000015
987.041;72.59999847
987.589;10.30000019
988.138;103.8000031
988.686;51.90000153
989.234;160.8999939
989.782;26.39999962
990.330;95.90000153
990.878;65.09999847
991.426;56.70000076
991.973;50.29999924
992.521;50.20000076
993.069;90.19999695
993.617;17.89999962
994.164;15.10000038
994.712;45.70000076
995.259;76.59999847
995.807;127.3000031
996.354;67.90000153
996.902;22.10000038
997.449;107.6999969
997.996;66
998.543;97.09999847
999.091;114.0999985
999.638;45.70000076
1000.185;43
1000.732;73
1001.279;55.59999847
1001.826;52.5
1002.373;39.70000076
1002.920;117.1999969
1003.466;51.70000076
1004.013;2.900000095
1004.560;78.5
1005.106;48.59999847
1005.653;26.20000076
1006.200;118.3000031
1006.746;74.5
1007.293;91.19999695
1007.839;17.79999924
1008.385;73.5
1008.932;70.30000305
1009.478;54.70000076
1010.024;81.80000305
1010.570;116.8000031
1011.116;46.5
1011.662;242.1000061
1012.208;151.6999969
1012.754;905.5
1013.300;3265.199951
1013.846;3812.5
1014.392;3877.100098
1014.938;3227.399902
1015.483;985.7000122
1016.029;345
1016.575;210.8999939
1017.120;169.8000031
1017.666;291.2000122
1018.211;237.6999969
1018.757;94.80000305
1019.302;47.29999924
1019.847;85.19999695
1020.393;56.79999924
1020.938;100.1999969
1021.483;41.59999847
1022.028;28.70000076
1022.573;107
1023.118;60.59999847
1023.663;78.40000153
1024.208;71.59999847
1024.753;130.3999939
1025.298;3.599999905
1025.842;43.90000153
1026.387;23.39999962
1026.932;84
1027.476;10.10000038
1028.021;16.29999924
1028.566;16.39999962
1029.110;74
1029.654;31.89999962
1030.199;93.80000305
1030.743;19.70000076
1031.287;38
1031.832;33.20000076
1032.376;139.6999969
1032.920;85.80000305
1033.464;65.80000305
1034.008;41.40000153
1034.552;9.800000191
1035.096;42.59999847
1035.640;75.09999847
1036.184;-26.29999924
1036.727;2.099999905
1037.271;10.39999962
1037.815;46
1038.358;14.60000038
1038.902;22.10000038
1039.445;70.80000305
1039.989;15.80000019
1040.532;4.900000095
1041.076;59.5
1041.619;-1.799999952
1042.162;65
1042.705;65.5
1043.249;25.39999962
1043.792;24.39999962
1044.335;23.60000038
1044.878;63.70000076
1045.421;-3.799999952
1045.964;41.29999924
1046.507;-12.39999962
1047.049;30.29999924
1047.592;41
1048.135;309.8999939
1048.677;33.09999847
1049.220;8.5
1049.763;6.099999905
1050.305;5.199999809
1050.848;27.5
1051.390;10.19999981
1051.932;34.20000076
1052.475;118.3000031
1053.017;6.599999905
1053.559;16.29999924
1054.101;30.89999962
1054.643;62.70000076
1055.185;49.29999924
1055.727;-27.29999924
1056.269;610.9000244
1056.811;3.799999952
1057.353;13.5
1057.895;24.39999962
1058.437;33.40000153
1058.978;0.899999976
1059.520;-12.69999981
1060.062;-0.600000024
1060.603;7.099999905
1061.145;65.69999695
1061.686;46.90000153
1062.228;-33.59999847
1062.769;79.09999847
1063.310;3.400000095
1063.851;29.39999962
1064.393;2.400000095
1064.934;-0.400000006
1065.475;33.90000153
1066.016;61.59999847
1066.557;27.70000076
1067.098;34.09999847
1067.639;19.89999962
1068.180;63.20000076
1068.720;-32.59999847
1069.261;21.5
1069.802;-12.39999962
1070.342;17.70000076
1070.883;53.5
1071.423;48.90000153
1071.964;5.099999905
1072.504;32.5
1073.045;17.29999924
1073.585;-18.79999924
1074.125;-37.79999924
1074.666;19.10000038
1075.206;43.5
1075.746;-19.79999924
1076.286;-6.599999905
1076.826;-26.39999962
1077.366;70.80000305
1077.906;-48.29999924
1078.446;-34
1078.985;70.5
1079.525;22.29999924
1080.065;-6.699999809
1080.605;16.29999924
1081.144;-12
1081.684;-4.099999905
1082.223;19.89999962
1082.763;33
1083.302;-1.799999952
1083.841;85
1084.381;51.90000153
1084.920;49.40000153
1085.459;40.79999924
1085.998;43
1086.537;-25.89999962
1087.077;35.90000153
1087.616;32.70000076
1088.154;-9.100000381
1088.693;-39.79999924
1089.232;-17
1089.771;23.20000076
1090.310;-40.29999924
1090.848;16.79999924
1091.387;46
1091.926;14.19999981
1092.464;-10.69999981
1093.003;86.40000153
1093.541;151.3999939
1094.079;-6.699999809
1094.618;21.89999962
1095.156;37.59999847
1095.694;-27.60000038
1096.232;32.09999847
1096.770;115.9000015
1097.309;15.69999981
1097.847;87.69999695
1098.384;15.19999981
1098.922;60.20000076
1099.460;76
1099.998;48.40000153
1100.536;41.20000076
