VIN (f.R);500;3000;8000;10000;12000;17000;22000;100000
28.95;0.4;2;4.8;4.4;3.6;2;2;1.4
1058.9;3.6;14.8;19.6;20;19.6;19.2;8;6.6
262.8;1.2;6;14.8;16.1;14.9;11.5;9.2;2.8
